ID,ESA2008,ESA2009,ESA2010,ESA2011,ESA2012,ESA2013,ESA2014,ESA2015,ESA2016,ESA2017,ESA2018,ESACount,EuroGamer,GamesRadar,Guardien,IGN,MetaCritic,Polygon,TIME,CriticCount,TotalCitationsCount,DigitalGame,Year,YearInterval,Series,Mode,SpatialDimensionality,Platformscount,Protagonist,MainPC,PCTYPE,CharacterPrespective,Narrative,DigitalGameMainGenre,DigitalGameSecondaryGenre,DigitalGameThirdGenre,DigitalGameGenreOTHER
393,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,KentuckyRouteZero,2020,2000-2004,KentuckyRouteZero,0,3,6,Conway,Conway,3,3,1,Adventure, , , 
390,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,OuterWilds,2019,2015-2019,0,1,3,3,OuterWildsTheProtagonist,OuterWildsTheProtagonist,3,1,1,ActionAdventure, , , 
391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,ReSidentEvil2(Remake),2019,2015-2019,ResidentEvil,1,3,3,LeonS.Kennedy,LeonS.Kennedy,3,3,1,Survival,Horror, , 
392,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,SlaytheSpire,2019,2015-2019,0,1,3,8,0,TheIronclad,0,4,0,Strategy, , , 
376,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,Assassin’sCreed:Odyssey,2018,2015-2019,Assasin'sCreed,1,3,3,KassandraorAlexios,KassandraorAlexios,3,3,1,Action,RPG, , 
377,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,BattlefieldV,2018,2015-2019,Battlefield,3,3,3,PeterMüller,Multiple,3,1,1,FirstPersonShooter,BattleRoyale, , 
378,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,CallofDuty:BlackOpsIIII,2018,2015-2019,CallofDuty,3,3,3,Specialists,Specialists,2,1,1,FirstPersonShooter,BattleRoyale, , 
379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,Celeste,2018,2015-2019,0,1,2,7,Madeline,Madeline,3,3,1,Platform, , , 
380,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,FarCry5,2018,2015-2019,FARCRY,3,3,4,TheJuniorDeputy,Customizable,1,1,1,FirstPersonShooter, , , 
381,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,FIFA19,2018,2015-2019,FIFA,3,3,6,AlexHunter,Multiple,5,2,1,Sports, , , 
382,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,3,4,GodofWar,2018,2015-2019,GodofWar,1,3,1,Kratos,Kratos,3,3,1,ActionAdventure, , , 
383,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,MaddenNFL19,2018,2015-2019,MaddenFootball,3,3,,0,NFLPlayers,5,2,0,Sports, , , 
384,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,Marvel??sSpider-Man,2018,2015-2019,Spider-Man,1,3,2,Spider-Man,Spider-Man,3,3,1,ActionAdventure, , , 
385,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,MonsterHunter:World,2018,2015-2019,MonsterHunter,3,3,3,Customizable,Customizable,1,3,1,RPG,Action, , 
386,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,NBA2K19,2018,2015-2019,NBA2KBasketball,3,3,6,0,NBAPlayers,5,2,0,Sports, , , 
387,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,2,3,RedDeadRedemptionII,2018,2015-2019,RedDeadRedemption,3,3,4,ArthurMorgan,ArthurMorgan,3,3,1,ActionAdventure, , , 
388,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,SuperSmashBros.Ultimate,2018,2015-2019,SuperMario,3,3,1,0,Multiple,3,4,0,Fighting, , , 
389,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,WIIFIT,2018,2015-2019,Mii,3,3,1,0,Customizable,1,5,0,Exergaming, , , 
357,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Assassin’sCreed:Origins,2017,2015-2019,Assasin'sCreed,1,3,3,BayekofSiwa,BayekofSiwa,3,3,1,RPG, , , 
358,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,CallofDuty:WWII,2017,2015-2019,CallofDuty,3,3,3,"Ronald\Red\""Daniels""","Ronald\Red\""Daniels""",3,1,1,FirstPersonShooter, , , 
